match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2014-04-18,Rajasthan Royals,Sheikh Zayed Stadium,2.0,0,8,0,4.0,5,0,0
9,2014-04-22,Kings XI Punjab,Sharjah Cricket Stadium,4.0,0,37,0,9.25,7,1,0
12,2014-04-25,Delhi Daredevils,Dubai International Cricket Stadium,4.0,0,23,1,5.75,10,1,0
17,2014-04-27,Chennai Super Kings,Sharjah Cricket Stadium,4.0,0,35,1,8.75,6,0,0
20,2014-04-30,Mumbai Indians,Dubai International Cricket Stadium,4.0,0,33,0,8.25,8,0,0
24,2014-05-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,17,3,4.25,14,0,0
30,2014-05-08,Rajasthan Royals,"Sardar Patel Stadium, Motera",4.0,0,20,1,5.0,6,0,0
32,2014-05-10,Delhi Daredevils,Feroz Shah Kotla,3.0,0,29,0,9.67,7,1,0
36,2014-05-12,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2.4,0,25,0,9.38,5,0,0
39,2014-05-14,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",4.0,0,46,1,11.5,8,0,0
43,2014-05-18,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",4.0,0,19,1,4.75,9,0,0
46,2014-05-20,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",3.0,0,27,1,9.0,8,0,0
50,2014-05-22,Chennai Super Kings,JSCA International Stadium Complex,4.0,0,19,2,4.75,12,0,0
54,2014-05-24,Kolkata Knight Riders,Eden Gardens,4.0,0,38,4,9.5,9,0,0
