innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,92,52,Shubman Gill,32,24,4,128,76
1,Gujarat Titans,2,JC Buttler,22,11,B Sai Sudharsan,8,6,2,32,17
1,Gujarat Titans,3,Washington Sundar,14,8,JC Buttler,3,5,0,17,13
1,Gujarat Titans,4,JO Holder,23,10,Washington Sundar,5,4,0,28,14
2,Royal Challengers Bengaluru,1,JG Bethell,14,10,V Kohli,10,8,2,26,18
2,Royal Challengers Bengaluru,2,V Kohli,59,32,D Padikkal,55,27,1,115,59
2,Royal Challengers Bengaluru,3,RM Patidar,0,1,V Kohli,12,4,1,13,5
2,Royal Challengers Bengaluru,4,JM Sharma,10,6,RM Patidar,7,2,0,17,8
2,Royal Challengers Bengaluru,5,RM Patidar,1,2,TH David,1,1,0,2,3
2,Royal Challengers Bengaluru,6,KH Pandya,23,12,TH David,9,8,1,33,20
